,HSC,MPP,CMP,CLP,GMP,MEP
sending ICAM,0.5970603214124037,0.6256153802625622,0.6775336690810322,0.6230194658216388,0.6931091557265732,0.6775336690810322
receiving ICAM,0.578245246717972,0.5676352421910367,0.5941602535083749,0.5596777387958353,0.5596777387958353,0.6021177569035763
sending SEMA3,0.26063829787234044,0.23404255319148937,0.2712765957446808,0.3404255319148936,0.2047872340425532,0.21808510638297873
receiving SEMA3,0.13262505658669083,0.22546259619737438,0.230767598460842,0.1750650746944319,0.23607260072430963,0.06631252829334541
sending NPR2,0.4706739474875509,0.46582163875056587,0.46582163875056587,0.46582163875056587,0.46582163875056587,0.46582163875056587
receiving NPR2,0.5078372566772296,0.31312245359891355,0.3315414214576732,0.3104911724762336,0.3052286102308737,0.32364757808963335
sending PD-L1,0.28551522181982797,0.16073449524671796,0.21149275690357627,0.1374702919873246,0.12689565414214576,0.17976884336803986
receiving PD-L1,0.15023766410140338,0.1552455862381168,0.16400944997736533,0.1852931190583975,0.14022181982797646,0.19656094386600273
sending IL2,0.5735131846989588,0.5660649615210502,0.5735131846989588,0.46675531914893614,0.5263411045722046,0.4071695337256677
receiving IL2,0.4391410140334993,0.3280330466274332,0.5343764146672703,0.3968141693073789,0.3306784744228157,0.3465510411951109
sending BTLA,0.2665374603893164,0.32915770710728837,0.3387915912177456,0.36769324354911725,0.3050729968311453,0.1926776822091444
receiving BTLA,0.2795948392937981,0.27271955636034406,0.2818866002716161,0.27271955636034406,0.3025124490719783,0.2841783612494341
sending MHC-I,0.8996788705296515,0.7783145654142145,0.8785720348574015,0.9577226686283387,0.804698110004527,0.862741908103214
receiving MHC-I,0.48936170212765956,0.6382978723404256,0.4654255319148936,0.6861702127659575,0.6170212765957447,0.23138297872340424
sending THY1,0.3495642824807605,0.28214831371661386,0.3595518334087822,0.4519366794929832,0.2646700995925758,0.31211096650067904
receiving THY1,0.35318583069262105,0.2588416704391127,0.11611588954277953,0.2951278859212313,0.22739361702127658,0.22497453598913536
sending HSPG,0.18832758035310096,0.17771757582616568,0.17771757582616568,0.19098008148483478,0.18037007695789953,0.17771757582616568
receiving HSPG,0.4499490719782707,0.2973347668628339,0.4262675418741512,0.32364757808963335,0.26839067451335447,0.3736419194205523
sending FGF,0.26063829787234044,0.23670212765957446,0.2393617021276596,0.24468085106382978,0.23138297872340424,0.23670212765957446
receiving FGF,0.3368676437301946,0.21750509280217295,0.23872510185604348,0.26790261430511547,0.16710757129923043,0.23872510185604348
sending THPO,0.6349026708918063,0.6349026708918063,0.6349026708918063,0.6349026708918063,0.6349026708918063,0.6349026708918063
receiving THPO,0.759237777274785,0.7186368266183795,0.745027444545043,0.7003663988229968,0.6354048777727479,0.7490875396106836
sending CCL,0.7135228044363966,0.8275803531009507,0.8116653463105478,0.7453528180172024,0.880630375735627,0.5464152331371661
receiving CCL,0.6409574468085106,0.7207446808510638,0.6622340425531915,0.6409574468085106,0.726063829787234,0.30319148936170215
